Distribuidor;CNPJ;Codigo Vendedor;Codigo Cliente;Codigo Produto;Quantidade;Valor Total;Data;Numero Nota;Tipo de Saida;
IMPORTADORA BAGE SA;92785047000126;000309;063707;013524;4;14269;20250428;001113091;VENDA;
IMPORTADORA BAGE SA;92785047000126;000309;063707;013522;2;3332;20250428;001113091;VENDA;
IMPORTADORA BAGE SA;92785047000126;000309;063707;013523;6;17356;20250428;001113091;VENDA;
IMPORTADORA BAGE SA;92785047000126;000309;063707;005995;4;26497;20250428;001113091;VENDA;
IMPORTADORA BAGE SA;92785047000126;000309;063707;008542;1;2958;20250428;001113091;VENDA;
IMPORTADORA BAGE SA;92785047000126;000309;063707;008544;2;8805;20250428;001113091;VENDA;
IMPORTADORA BAGE SA;92785047000126;000309;063707;009861;1;8254;20250428;001113091;VENDA;
IMPORTADORA BAGE SA;92785047000126;000309;063707;006710;6;16378;20250428;001113091;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;001246;001802;40;116735;20250428;001113092;VENDA;
IMPORTADORA BAGE SA;92785047000126;000392;009055;007707;4;3724;20250428;001113093;VENDA;
IMPORTADORA BAGE SA;92785047000126;000392;009055;006348;4;19799;20250428;001113093;VENDA;
IMPORTADORA BAGE SA;92785047000126;000392;009055;000722;3;19953;20250428;001113093;VENDA;
IMPORTADORA BAGE SA;92785047000126;000392;009055;000130;1;3872;20250428;001113093;VENDA;
IMPORTADORA BAGE SA;92785047000126;000392;009055;013460;5;34992;20250428;001113093;VENDA;
IMPORTADORA BAGE SA;92785047000126;000392;009055;013461;4;17941;20250428;001113093;VENDA;
IMPORTADORA BAGE SA;92785047000126;000202;006746;001713;2;9442;20250428;001113100;VENDA;
IMPORTADORA BAGE SA;92785047000126;000202;006746;002303;3;10884;20250428;001113100;VENDA;
IMPORTADORA BAGE SA;92785047000126;000218;063901;001760;1;7276;20250428;001113103;VENDA;
IMPORTADORA BAGE SA;92785047000126;000218;063901;007708;5;6945;20250428;001113103;VENDA;
IMPORTADORA BAGE SA;92785047000126;000218;063901;000722;1;7218;20250428;001113103;VENDA;
IMPORTADORA BAGE SA;92785047000126;000218;063901;000130;1;4202;20250428;001113103;VENDA;
